,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Rape+Kidnap,Urban,Population,crimes/population
7969,RAJASTHAN,BHILWARA,2011,0.00014054054054054053,0.0002,126,0,370000,0.00034054054054054057
4145,RAJASTHAN,BHILWARA,2006,0.00010810810810810811,0.0002054054054054054,116,0,370000,0.0003135135135135135
6492,UTTAR PRADESH,ALIGARH,2009,6.636155606407323e-05,0.0002448512585812357,272,0,874000,0.00031121281464530895
3436,RAJASTHAN,UDAIPUR,2005,9.977827050997783e-05,0.0001951219512195122,133,0,451000,0.00029490022172949003
5641,RAJASTHAN,BHILWARA,2008,0.00011351351351351351,0.00015675675675675676,100,0,370000,0.0002702702702702703
8875,UTTAR PRADESH,BAREILLY,2012,6.852589641434263e-05,0.00019840637450199204,335,0,1255000,0.00026693227091633467
4888,RAJASTHAN,BHILWARA,2007,0.00012972972972972972,0.00012702702702702703,95,0,370000,0.0002567567567567568
8056,UTTAR PRADESH,AGRA,2011,4.779874213836478e-05,0.00020628930817610062,404,0,1590000,0.0002540880503144654
1245,RAJASTHAN,UDAIPUR,2002,8.647450110864746e-05,0.0001662971175166297,114,0,451000,0.00025277161862527714
1974,RAJASTHAN,UDAIPUR,2003,7.760532150776053e-05,0.0001596452328159645,107,0,451000,0.00023725055432372504
5725,UTTAR PRADESH,ALIGARH,2008,7.093821510297482e-05,0.00014187643020594965,186,0,874000,0.0002128146453089245
8862,UTTAR PRADESH,AGRA,2012,3.647798742138365e-05,0.00016037735849056605,313,0,1590000,0.00019685534591194968
6504,UTTAR PRADESH,BAREILLY,2009,6.135458167330678e-05,0.00012191235059760956,230,0,1255000,0.00018326693227091633
8069,UTTAR PRADESH,BAREILLY,2011,2.709163346613546e-05,0.00015378486055776891,227,0,1255000,0.0001808764940239044
7494,ASSAM,SONITPUR,2011,5e-05,0.0001203125,327,0,1920000,0.0001703125
8322,BIHAR,PATNA,2012,2.3902439024390243e-05,0.00014634146341463414,349,1,2050000,0.0001702439024390244
7548,CHHATTISGARH,DURG,2011,9.647651006711409e-05,7.214765100671141e-05,201,0,1192000,0.0001686241610738255
4970,UTTAR PRADESH,ALIGARH,2007,5.7208237986270026e-05,0.00010983981693363844,146,0,874000,0.00016704805491990846
3487,UTTAR PRADESH,ALIGARH,2005,6.979405034324943e-05,9.610983981693364e-05,145,0,874000,0.00016590389016018307
